Source,Title,Type,Role,Major Contents,Artifact,Stage,Status,Description,Component,Inputs,Outputs,Dependencies,Consumers,Claim / Result,Evidence,Verification State,Test,Input,Expected Result,Actual Result,Atom / Record,Plane,Binding,X,Y,Z,R,Receptor,Payload,Version,Contents,Missing / Unresolved Item,Why It Matters,Source Evidence,Current Status
3,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,PS-MBTI-001,plane_05,Psychometric Profile,-5.71,1.0,-0.7,5.75,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
3,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,RF-UNPOP-001,plane_06,References,-1.9,-2.8,-9.77,9.95,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
5,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Step 2 (Single Atom Injection),"WH-TWIN-001 at (0.00, 4.10, 4.35)",Single amber node at ceiling,Not in source,WH-TWIN-001,Ceiling,Solid Ray (Direct),0.00,4.10,4.35,Not in source,"Origin (0,0,0)",Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
5,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Step 3 (Quarantine Verification),"WH-BOBC-001 at (-1.12, -2.80, 7.06)",Node in floor zone with marker,Not in source,WH-BOBC-001,Floor Zone,Downward Quarantine,-1.12,-2.80,7.06,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
6,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,JOB-002,Demand,Strong,Not in source,Not in source,Not in source,5,D_01 / D_02,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
6,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,COMPLETE,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Salary Benchmark Calculation,127 Jobs,"$74,030.87","$74,030.87",Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
8,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Frozen by Contract,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,44 Atoms Preservation,atom_id primary key,PROVEN BY ARTIFACT,Not in source,Not in source,Not in source,Not in source,C01..C44,plane_01..06,DIRECT_BIND,-10..10,-5..5,-10..10,$sqrt(X^2+Z^2)$,D_01..D_n,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
7,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Atomic Nodes,Origin Planes (6),Binding gate strength,Deterministic,Deterministic,Deterministic,Deterministic,JOB_002,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
2,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,plane_06,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,CONF-01 Bobcat Bonnie's tenure,Timeline dispute,2,Quarantined at y = -2.80
2,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,CONF-02 Applebee's title,Payroll/Summary conflict,2,Restricted to verified role
2,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,CONF-05 Oakland University degree,In progress vs completed,2,Degree claims blocked
7,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Angular Azimuth ( $\theta$ ),Must back-calculate arctan(X/Z),7,Omitted from atom objects
6,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Automated extraction from URLs,None,CLAIMED BUT UNVERIFIED,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Automated URL extraction,Required for scale,6,CLAIMED BUT UNVERIFIED
5,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,CLAIMED BUT NOT VERIFIED,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Live standalone rendering,Gemini Canvas instance,CLAIMED BUT NOT VERIFIED,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Live rendering,Independent verification,5,Not present
4,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not present,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,MARA_LAYOUT_PAYLOAD_v1,v1,"Metadata, demand_envelope, elements",Not in source,Not in source,Not in source,Not in source
1,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,SPATIAL_DNA_STAGE_v1,v1,WebGL 6-face bounding volume,Not in source,Not in source,Not in source,Not in source
3,Not in source,Not in source,Not in source,Not in source,Not in source,STAGE_03_SPATIAL_COORDINATES,Not in source,Not in source,Spatial Coordinate Engine,"Evaluated atoms, Planes, Receptors","3D Coordinates (X,Y,Z,R), Polarity",Stage 2 Evidence,Stage 4/5,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
2,Not in source,Not in source,Not in source,Not in source,Not in source,STAGE_02_SPATIAL_DNA_CORE,Not in source,Not in source,Binding Gate,"Knowledge Graph, Receptors",Evaluated atom array,Stage 1 Receptors,Stage 3 Projection,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
6,Not in source,Not in source,Not in source,Not in source,Not in source,STAGE_01_JOB_INCEPTION,Not in source,Not in source,Spatial DNA Normalizer,Raw job postings,SCOUT_TARGET_OBSERVATION_v1,SCOUT runner,Stage 2 Traversal,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
1,Not in source,Not in source,Not in source,Not in source,Not in source,6. SPATIAL PROJECTION,Not in source,Not in source,Not in source,Candidate Atoms,Cartesian coordinates,BINDING GATE,SPATIAL & LAYOUT PAYLOAD,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,4 lateral planes,Not in source,Computed,Computed,Computed,Vertical polarity,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
